---------iter: 1
conlict: 32
0,-1,-2,-1,-2,-1,-1,-1,-1,0,0,-1,0,-1,0,
-1,0,-4,-2,0,-1,-1,0,0,0,0,0,0,-2,-1,
-8,-6,0,-1,0,-1,-1,-1,0,0,-1,0,0,-1,0,
-4,-2,-2,0,0,0,-2,0,0,0,0,0,0,0,0,
-4,0,-2,0,-2,0,0,-1,0,0,0,0,0,0,-1,
-3,-3,-1,0,0,0,-2,-1,0,0,0,0,0,0,0,
-3,-1,-1,0,-2,0,-1,-2,0,0,0,0,0,0,0,
-5,0,-3,0,0,0,-1,0,0,0,0,0,0,0,-1,
-1,-1,-4,0,0,0,-2,0,0,0,0,0,0,0,0,
-1,0,-4,0,-2,0,0,0,0,0,0,0,0,0,-1,
-1,-1,-3,0,0,0,-2,-1,0,0,0,0,0,0,0,
-1,0,-3,0,-2,0,-1,-1,0,0,0,0,0,0,0,
-1,0,-5,0,0,0,-1,0,0,0,0,0,0,0,-1,
-8,-2,-1,0,0,0,0,-1,0,0,0,0,0,0,0,
-2,-6,0,-4,0,-2,-1,0,-1,0,-1,-2,0,-3,0,
-1,-4,-1,-1,0,0,0,0,0,-1,0,-1,0,0,0,
-2,0,-1,-3,-1,0,0,0,0,-1,0,0,0,-1,0,
0,-6,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,
-1,-3,0,-2,-1,0,0,-1,0,-1,0,0,0,0,0,
-2,-1,-2,-2,0,0,0,0,0,-1,0,0,0,-1,0,
0,-1,-2,-1,0,-1,0,0,0,-1,0,-1,0,0,0,
0,0,-2,-2,-1,-1,0,0,0,-1,0,0,0,0,0,
0,-2,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,0,
0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,
0,0,-3,-2,0,-1,0,0,0,-1,0,0,0,0,0,
-3,-5,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,
-1,-2,-2,0,0,0,0,0,0,-1,0,0,0,0,0,
-2,0,-2,0,-1,0,0,0,0,-1,0,0,0,0,0,
0,-3,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,
-1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,
-2,0,-3,0,0,0,0,0,0,-1,0,0,0,0,0,
0,-1,-3,0,0,0,0,0,0,-1,0,0,0,0,0,
0,0,-3,0,-1,0,0,0,0,-1,0,0,0,0,0,
0,-1,-2,0,0,0,0,-1,0,-1,0,0,0,0,0,
0,0,-2,0,-1,0,0,-1,0,-1,0,0,0,0,0,
0,0,-4,0,0,0,0,0,0,-1,0,0,0,0,0,
-3,-2,-1,0,0,0,0,0,0,-1,0,0,0,0,0,
0,-4,0,-4,0,-1,0,0,0,-1,0,-1,0,-1,0,
-6,-1,0,1,0,0,-3,0,0,1,0,0,1,-1,0,
---------------------
---------iter: 25
conlict: 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,
0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,
---------------------
-3,-6,-1,-1,0,0,-2,0,0,0,-1,-1,0,-1,0,
-5,0,-1,-3,-2,-1,0,-1,-1,0,0,0,0,-1,-1,
-2,-7,0,0,0,0,-3,-1,0,0,-1,-2,0,0,0,
-3,-3,0,-2,-2,0,-2,-2,-1,0,0,-1,0,0,0,
-5,-2,-2,-2,0,-1,-1,0,0,0,0,0,0,-2,-1,
0,-2,-3,-1,0,-1,-2,0,0,0,0,-1,0,-2,0,
-1,0,-3,-2,-2,-1,0,0,-1,0,0,0,0,-1,-1,
0,-3,-2,0,0,-1,-2,-1,0,0,0,-2,0,-1,0,
0,-1,-2,-1,-2,-1,-1,-1,-1,0,0,-1,0,-1,0,
-1,0,-4,-2,0,-1,-1,0,0,0,0,0,0,-2,-1,
-8,-6,0,-1,0,-1,-1,-1,0,0,-1,0,0,-1,0,
-4,-2,-2,0,0,0,-2,0,0,0,0,0,0,0,0,
-4,0,-2,0,-2,0,0,-1,0,0,0,0,0,0,-1,
-3,-3,-1,0,0,0,-2,-1,0,0,0,0,0,0,0,
-3,-1,-1,0,-2,0,-1,-2,0,0,0,0,0,0,0,
-5,0,-3,0,0,0,-1,0,0,0,0,0,0,0,-1,
-1,-1,-4,0,0,0,-2,0,0,0,0,0,0,0,0,
-1,0,-4,0,-2,0,0,0,0,0,0,0,0,0,-1,
-1,-1,-3,0,0,0,-2,-1,0,0,0,0,0,0,0,
-1,0,-3,0,-2,0,-1,-1,0,0,0,0,0,0,0,
-1,0,-5,0,0,0,-1,0,0,0,0,0,0,0,-1,
-8,-2,-1,0,0,0,0,-1,0,0,0,0,0,0,0,
-2,-6,0,-4,0,-2,-1,0,-1,0,-1,-2,0,-3,0,
-1,-4,-1,-2,0,0,0,0,0,0,0,-1,0,0,0,
-2,0,-1,-4,-1,0,0,0,0,0,0,0,0,-1,0,
0,-6,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,
-1,-3,0,-3,-1,0,0,-1,0,0,0,0,0,0,0,
-2,-1,-2,-3,0,0,0,0,0,0,0,0,0,-1,0,
0,-1,-2,-2,0,-1,0,0,0,0,0,-1,0,0,0,
0,0,-2,-3,-1,-1,0,0,0,0,0,0,0,0,0,
0,-2,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,0,
0,-1,-1,-2,-1,-1,0,-1,0,0,0,0,0,0,0,
0,0,-3,-3,0,-1,0,0,0,0,0,0,0,0,0,
-3,-5,0,-2,0,0,0,0,0,0,0,0,0,-1,0,
-1,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,
-2,0,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,
0,-3,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,
-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,
-2,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,
0,-1,-3,-1,0,0,0,0,0,0,0,0,0,0,0,
0,0,-3,-1,-1,0,0,0,0,0,0,0,0,0,0,
0,-1,-2,-1,0,0,0,-1,0,0,0,0,0,0,0,
0,0,-2,-1,-1,0,0,-1,0,0,0,0,0,0,0,
0,0,-4,-1,0,0,0,0,0,0,0,0,0,0,0,
-3,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,
0,-4,0,-5,0,-1,0,0,0,0,0,-1,0,-1,0,
-7,-2,-1,0,-1,-1,-4,-1,-1,0,-1,-1,0,-2,-1,
---------------------
Round  8 verified!
---------iter: 1
conlict: 32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
---------------------
-2,0,1,-2,1,0,0,1,0,1,1,-1,-1,0,0,
2,2,1,1,2,0,2,-1,1,0,-1,1,2,2,0,
0,1,2,-2,1,2,1,0,2,1,2,2,2,0,0,
-1,0,-1,-2,-1,-2,0,-4,0,-1,-1,0,0,-1,-2,
-1,1,1,1,1,0,1,0,-1,-1,-1,-2,-1,1,0,
1,0,1,0,1,-1,1,0,0,0,1,0,-1,0,0,
0,0,0,-1,0,-3,0,-3,-1,-1,-1,0,0,0,-2,
0,-1,0,-1,0,-2,0,-2,0,-2,0,0,0,-2,-2,
3,3,3,2,3,0,3,0,3,1,3,3,3,2,1,
2,2,2,2,2,0,2,0,0,1,1,1,0,2,1,
-2,2,1,-1,1,0,1,0,2,0,0,0,2,2,2,
-2,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,-1,-2,
1,1,1,0,1,0,1,0,0,0,0,0,1,1,-2,
-1,0,0,-1,-1,0,0,-2,0,0,0,-1,0,-1,-3,
1,1,1,0,0,0,1,-2,1,1,1,0,1,1,-2,
0,1,1,1,1,0,1,1,-1,0,0,0,0,1,-1,
0,0,0,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-2,
0,0,0,-1,0,-1,0,-1,-1,0,0,-1,0,0,-3,
0,0,0,0,0,-1,0,-2,0,0,0,-1,0,-1,-3,
1,1,1,0,1,0,1,-1,1,1,1,0,1,1,-2,
0,0,0,0,0,-1,0,-1,-2,0,0,-1,-1,0,-2,
-1,1,1,0,0,-1,1,-1,1,0,0,0,1,1,0,
1,2,2,0,3,1,2,1,3,0,1,0,2,2,3,
0,0,1,0,1,0,0,1,1,1,1,-1,0,1,0,
0,-1,-1,0,0,0,0,-2,0,-1,-2,0,0,0,-2,
-2,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,-2,
-1,-1,-1,0,0,0,0,-3,0,-1,0,0,0,0,-2,
0,-1,0,0,0,-1,0,0,0,-1,-2,-2,-1,0,-1,
0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,-1,
0,-1,0,0,0,0,0,-2,0,-1,-1,0,0,0,-2,
2,1,2,1,2,2,2,1,2,0,2,2,2,2,0,
0,-1,0,0,0,0,0,-2,0,-2,0,0,0,0,-2,
0,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,0,-1,
0,1,1,2,2,1,1,0,2,1,1,1,2,2,2,
1,1,2,2,2,1,2,2,2,2,2,1,1,2,1,
1,0,1,1,1,1,1,0,1,1,0,0,1,1,-1,
0,0,1,1,1,1,1,0,1,1,1,0,1,1,-1,
0,-1,0,0,0,0,0,-2,0,0,0,-1,0,0,-2,
0,-1,0,0,0,-1,0,0,0,0,-1,-1,-1,0,-1,
0,-1,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,
0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,-2,
1,0,1,1,1,1,1,0,1,1,1,0,1,1,-1,
0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,-2,
0,-1,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,
1,1,2,2,2,1,2,0,2,2,1,1,2,2,2,
-1,-1,-1,-1,0,0,-1,-1,0,-3,-1,-2,0,0,0,
-1,0,1,-3,0,-3,1,-1,-1,0,0,0,0,-1,0,
---------------------
---------iter: 2
conlict: 26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
---------------------
-3,0,1,-2,1,1,0,1,0,1,1,-1,-1,0,0,
2,2,1,1,2,0,2,-1,1,0,-1,1,2,2,0,
0,1,2,-2,1,2,1,0,2,1,2,2,2,0,0,
-1,0,-1,-2,-1,-2,0,-4,0,-1,-1,0,0,-1,-2,
-2,1,1,1,1,1,1,0,-1,-1,-1,-2,-1,1,0,
1,0,1,0,1,-1,1,0,0,0,1,0,-1,0,0,
0,0,0,-1,0,-3,0,-3,-1,-1,-1,0,0,0,-2,
0,-1,0,-1,0,-2,0,-2,0,-2,0,0,0,-2,-2,
0,0,0,-1,0,-3,0,-3,0,-2,0,0,0,-1,-2,
2,2,2,2,2,0,2,0,0,1,1,1,0,2,1,
-3,2,1,-1,1,1,1,0,2,0,0,0,2,2,2,
-3,0,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,-2,
1,1,1,0,1,0,1,0,0,0,0,0,1,1,-2,
-1,0,0,-1,-1,0,0,-2,0,0,0,-1,0,-1,-3,
1,1,1,0,0,0,1,-2,1,1,1,0,1,1,-2,
-1,1,1,1,1,1,1,1,-1,0,0,0,0,1,-1,
0,0,0,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-2,
0,0,0,-1,0,-1,0,-1,-1,0,0,-1,0,0,-3,
0,0,0,0,0,-1,0,-2,0,0,0,-1,0,-1,-3,
1,1,1,0,1,0,1,-1,1,1,1,0,1,1,-2,
0,0,0,0,0,-1,0,-1,-2,0,0,-1,-1,0,-2,
-2,1,1,0,0,0,1,-1,1,0,0,0,1,1,0,
1,2,2,0,3,1,2,1,3,0,1,0,2,2,3,
-1,0,1,0,1,1,0,1,1,1,1,-1,0,1,0,
0,-1,-1,0,0,0,0,-2,0,-1,-2,0,0,0,-2,
-2,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,-2,
-1,-1,-1,0,0,0,0,-3,0,-1,0,0,0,0,-2,
-1,-1,0,0,0,0,0,0,0,-1,-2,-2,-1,0,-1,
0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,-1,
0,-1,0,0,0,0,0,-2,0,-1,-1,0,0,0,-2,
2,1,2,1,2,2,2,1,2,0,2,2,2,2,0,
0,-1,0,0,0,0,0,-2,0,-2,0,0,0,0,-2,
0,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,0,-1,
-1,1,1,2,2,2,1,0,2,1,1,1,2,2,2,
0,1,2,2,2,2,2,2,2,2,2,1,1,2,1,
1,0,1,1,1,1,1,0,1,1,0,0,1,1,-1,
0,0,1,1,1,1,1,0,1,1,1,0,1,1,-1,
0,-1,0,0,0,0,0,-2,0,0,0,-1,0,0,-2,
-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,
0,-1,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,
0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,-2,
1,0,1,1,1,1,1,0,1,1,1,0,1,1,-1,
0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,-2,
0,-1,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,
0,1,2,2,2,2,2,0,2,2,1,1,2,2,2,
-1,-1,-1,-1,0,0,-1,-1,0,-3,-1,-2,0,0,0,
-1,0,1,-3,0,-3,1,-1,-1,0,0,0,0,-1,0,
---------------------
---------iter: 3
conlict: 20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
---------------------
-3,0,1,-2,1,1,0,1,0,1,1,-1,-1,0,0,
2,2,1,1,2,0,2,-1,1,0,-1,1,2,2,0,
0,1,2,-2,1,2,1,0,2,1,2,2,2,0,0,
-1,0,-1,-2,-1,-2,0,-4,0,-1,-1,0,0,-1,-2,
-2,1,1,1,1,1,1,0,-1,-1,-1,-2,-1,1,0,
1,0,1,0,1,-1,1,0,0,0,1,0,-1,0,0,
0,0,0,-1,0,-3,0,-3,-1,-1,-1,0,0,0,-2,
0,-1,0,-1,0,-2,0,-2,0,-2,0,0,0,-2,-2,
0,0,0,-1,0,-3,0,-3,0,-2,0,0,0,-1,-2,
2,2,2,2,2,0,2,0,0,1,1,1,0,2,1,
-3,2,1,-1,1,1,1,0,2,0,0,0,2,2,2,
-3,0,0,-1,-1,0,0,0,-1,0,0,0,-1,-1,-2,
1,1,1,0,0,0,1,0,0,0,0,1,1,1,-2,
-1,0,0,-1,-2,0,0,-2,0,0,0,0,0,-1,-3,
1,1,1,0,-1,0,1,-2,1,1,1,1,1,1,-2,
-1,1,1,1,0,1,1,1,-1,0,0,1,0,1,-1,
0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,-1,-2,
0,0,0,-1,-1,-1,0,-1,-1,0,0,0,0,0,-3,
0,0,0,0,-1,-1,0,-2,0,0,0,0,0,-1,-3,
1,1,1,0,0,0,1,-1,1,1,1,1,1,1,-2,
0,0,0,0,-1,-1,0,-1,-2,0,0,0,-1,0,-2,
-2,1,1,0,-1,0,1,-1,1,0,0,1,1,1,0,
-2,-1,-1,-3,0,-2,-1,-2,0,-3,-2,-3,-1,-1,0,
-1,0,1,0,1,1,0,1,1,1,1,-1,0,1,0,
0,-1,-1,0,0,0,0,-2,0,-1,-2,0,0,0,-2,
-2,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,-2,
-1,-1,-1,0,0,0,0,-3,0,-1,0,0,0,0,-2,
-1,-1,0,0,0,0,0,0,0,-1,-2,-2,-1,0,-1,
0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,-1,
0,-1,0,0,0,0,0,-2,0,-1,-1,0,0,0,-2,
2,1,2,1,2,2,2,1,2,0,2,2,2,2,0,
0,-1,0,0,0,0,0,-2,0,-2,0,0,0,0,-2,
0,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,0,-1,
-1,1,1,2,2,2,1,0,2,1,1,1,2,2,2,
0,1,2,2,1,2,2,2,2,2,2,2,1,2,1,
1,0,1,1,0,1,1,0,1,1,0,1,1,1,-1,
0,0,1,1,0,1,1,0,1,1,1,1,1,1,-1,
0,-1,0,0,-1,0,0,-2,0,0,0,0,0,0,-2,
-1,-1,0,0,-1,0,0,0,0,0,-1,0,-1,0,-1,
0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,
0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,-2,
1,0,1,1,0,1,1,0,1,1,1,1,1,1,-1,
0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,-2,
0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,
0,1,2,2,1,2,2,0,2,2,1,2,2,2,2,
-1,-1,-1,-1,0,0,-1,-1,0,-3,-1,-2,0,0,0,
